country,city,lat,lng
Morocco,Casablanca,33.5333,-7.5833
Morocco,Tangier,35.7767,-5.8039
Morocco,Fès,34.0433,-5.0033
Morocco,Marrakech,31.63,-8.0089
Morocco,Sale,34.0333,-6.8
Morocco,Oujda-Angad,34.6867,-1.9114
Morocco,Rabat,34.0209,-6.8416
Morocco,Agadir,30.4214,-9.5831
Morocco,Meknès,33.895,-5.5547
Morocco,Kenitra,34.25,-6.5833
Morocco,Tétouan,35.5667,-5.3667
Morocco,Safi,32.2833,-9.2333
Morocco,Taourirt,34.4169,-2.885
Morocco,Temara,33.9267,-6.9122
Morocco,Khénifra,32.9394,-5.6675
Morocco,El Jadid,33.2333,-8.5
Morocco,Laâyoune,27.15,-13.1989
Morocco,Ait Melloul,30.3342,-9.4972
Morocco,Béni Mellal,32.3394,-6.3608
Morocco,Bouskoura,33.4489,-7.6486
Morocco,Kouribga,32.8833,-6.9167
Morocco,Mohammedia,33.6833,-7.3833
Morocco,Settat,33.0,-7.6167
Morocco,Barrechid,33.2667,-7.5833
Morocco,Taza,34.2167,-4.0167
Morocco,Inezgane,30.3658,-9.5381
Morocco,Larache,35.1833,-6.15
Morocco,Guelmim,28.9833,-10.0667
Morocco,My Drarga,30.38,-9.48
Morocco,Ksar El Kebir,35.009,-5.9
Morocco,Skhirate,33.85,-7.03
Morocco,Beni Yakhlef,33.6555,-7.3221
Morocco,Sidi Yahya Zaer,33.7105,-6.8831
Morocco,Ben Guerir,32.0,14.0
Morocco,Ait Ali,30.1765,-9.4886
Morocco,Nador,35.1667,-2.9333
Morocco,El Kelaa des Srarhna,32.0481,-7.4083
Morocco,Ad Dakhla,23.7081,-15.9456
Morocco,Moulay Abdallah,33.1978,-8.5883
Morocco,Oulad Teïma,30.4,-9.2167
Morocco,Berkane,34.9167,-2.3167
Morocco,Ain El Aouda,33.8111,-6.7922
Morocco,Errachidia,31.9319,-4.4244
Morocco,Al Fqih Ben Çalah,32.5,-6.5333
Morocco,Ad Darwa,33.4167,-7.5333
Morocco,Martil,35.6167,-5.2667
Morocco,Sidi Slimane,34.2167,-5.7
Morocco,Oued Zem,32.8667,-6.5667
Morocco,Sa’ada,31.621,-8.1303
Morocco,Al Khmissat,33.8167,-6.0667
Morocco,Gueznaia,35.7066,-5.9088
Morocco,Wislane,30.225,-8.3801
Morocco,Guercif,34.2333,-3.3667
Morocco,Warzat,30.9167,-6.9167
Morocco,Fnidq,35.85,-5.35
Morocco,Sidi Qacem,34.2167,-5.7
Morocco,Sidi Bibi,30.2333,-9.5333
Morocco,M’diq,35.6858,-5.3253
Morocco,Youssoufia,32.25,-8.5333
Morocco,Midalt,32.68,-4.73
Morocco,Aïn Harrouda,33.6372,-7.4483
Morocco,Souq Sebt Oulad Nemma,32.2948,-6.7007
Morocco,Mehdya,34.2597,-6.65
Morocco,Ouezzane,34.8,-5.5833
Morocco,Taroudannt,30.471,-8.8806
Morocco,Semara,26.7394,-11.6703
Morocco,Essaouira,31.5131,-9.7697
Morocco,Tit Mellil,33.5533,-7.4822
Morocco,Sidi Bennour,32.65,-8.4333
Morocco,Douar Ain Chkef,33.9652,-5.288
Morocco,Sefrou,33.0,49.0
Morocco,Sidi Mohamed Lahmar,34.7167,-6.2667
Morocco,Temsia,30.36,-9.414
Morocco,Beni Enzar,35.2667,-2.9333
Morocco,Al Hoceïma,35.2472,-3.9322
Morocco,Tiflet,33.8931,-6.3069
Morocco,Douar Laouamra,31.8,-8.7167
Morocco,Qasbat Tadla,32.6,-6.2667
Morocco,Aziylal,31.9669,-6.5694
Morocco,Al Aaroui,34.9833,-3.0167
Morocco,Mrirt,33.1667,-5.5667
Morocco,Chefchaouene,35.1714,-5.2697
Morocco,Aourir,30.4833,-9.6333
Morocco,Tan-Tan,28.4333,-11.1
Morocco,Tineghir,31.5147,-5.5328
Morocco,Tinajdad,31.5,-5.0167
